"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias"
"Variável - Quantidade produzida (Toneladas)"
"Nível","Cód.","Brasil e Microrregião Geográfica","Ano x Produto das lavouras temporárias"
"Nível","Cód.","Brasil e Microrregião Geográfica","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Nível","Cód.","Brasil e Microrregião Geográfica","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)"
"MI","15022","Conceição do Araguaia (PA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","10196","11081","15307","20850","21690","30900","35700","50760","46252","47912","57850","49500","38700","48864","48900","43287","33157","33157","31712","35310","24365","35376","35876","38567","27050","35220","24610","200280","177540","231506","231915","249211"
"MI","16001","Oiapoque (AP)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","25","18","16","24","21","21","408","75","70","128","154","190","190","150","110","175","205","268","328","420","485","268","210","200","200","170","134","129","83","80","86","89"
"MI","16002","Amapá (AP)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","30","18","15","27","34","36","54","90","84","95","99","625","595","398","375","518","548","611","760","850","1000","787","602","573","560","444","410","428","332","314","296","302"
"MI","16003","Macapá (AP)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","220","138","121","132","172","250","288","332","311","447","419","452","485","375","311","452","557","655","954","1108","1223","957","870","827","822","696","680","732","526","524","539","558"
"MI","16004","Mazagão (AP)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","55","20","28","24","39","39","40","101","95","158","182","198","200","136","130","185","220","296","364","472","525","454","438","411","376","340","293","275","214","220","229","237"
"MI","17001","Bico do Papagaio (TO)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","16150","17600","21500","23468","17500","22820","5333","9835","8061","7440","8926","8894","10996","11230","11706","6558","8646","9625","10361","5744","6523","6720","19308","32761","21576","21836","10983","27985","29983","13346","25821","26025"
"MI","17002","Araguaína (TO)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","10310","9880","13150","12325","10320","13956","11110","13113","13140","14523","14020","14345","14440","16220","13513","15012","14439","13629","19036","17832","18300","15244","11593","11795","16175","20096","55996","59411","60553","47537","44784","45061"
"MI","17003","Miracema do Tocantins (TO)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","17040","15310","10806","12055","11863","12930","9460","10982","9291","9186","13177","16376","16014","15711","14297","16538","15306","14302","19974","18307","18472","16142","14038","16634","26756","19686","92061","151711","181786","269871","436364","321747"
"MI","17004","Rio Formoso (TO)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","4370","6390","6980","6078","7079","19023","14852","27400","18730","18081","28381","16798","15490","23404","16936","13941","15784","26800","30593","12362","12364","11201","10652","10671","10397","17269","42609","63151","49113","42736","121882","56951"
"MI","17005","Gurupi (TO)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","8300","18750","22410","11233","19454","19408","16163","17134","11594","11235","15782","18447","15246","16803","20707","22326","18449","19355","23530","25829","27106","16198","18352","14768","14683","47246","29865","63253","69484","82413","85002","100037"
"MI","17006","Porto Nacional (TO)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","3690","6185","4730","2839","5744","6908","8544","7457","8335","6790","11815","12021","12769","11483","12704","13347","12137","13976","15592","17664","18327","20670","49242","36710","63631","154578","59643","154977","170678","241268","280048","394416"
"MI","17007","Jalapão (TO)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2350","1980","2850","3935","3134","4060","2757","4990","5072","4862","5442","5853","7621","10667","12404","18473","17248","17085","60434","77928","105836","173672","205120","167393","247262","288688","203598","211610","204188","309457","296647","445735"
"MI","17008","Dianópolis (TO)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","7380","7580","9410","9896","10361","13008","10106","20950","18645","13910","23844","28525","34124","35239","40890","50393","40140","42818","50750","74785","75547","52366","42635","59937","51646","70337","36930","109859","47031","79215","140403","119188"
"MI","21001","Litoral Ocidental Maranhense (MA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1276","3385","1836","3211","3439","4194","1145","1152","1021","1265","1314","1333","1396","1465","1556","1703","1711","2101","1941","2243","1130","2132","2103","2127","2713","2624","2540","2471","2624","2492","2428","2157"
"MI","21002","Aglomeração Urbana de São Luís (MA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","19","17","9","34","31","33","25","26","26","19","31","36","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MI","21003","Rosário (MA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1921","1585","1357","1327","1723","1687","927","1019","874","890","897","1015","1098","1482","1639","1675","2887","3024","3175","2223","1638","2632","1713","1297","3493","1384","1360","1344","657","319","359","317"
"MI","21004","Lençóis Maranhenses (MA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","3822","4448","982","3092","5323","4990","1935","1931","1821","2596","2621","2721","2479","2811","3109","2695","2725","2869","3380","3131","2272","4392","1661","4223","6415","2702","2615","2487","2331","1261","1099","942"
"MI","21005","Baixada Maranhense (MA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","12152","16455","16580","21940","15957","25005","9956","9993","10609","9476","10300","11386","13078","12269","13538","15798","15811","16110","15571","14397","11967","10928","15444","15035","14463","12775","8638","7362","5670","5497","6158","5560"
"MI","21006","Itapecuru Mirim (MA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","5151","6204","4773","8592","9936","7786","4170","4497","3524","4074","4255","3543","4360","4583","4776","5402","5786","6155","6345","4221","6443","8897","5693","3397","9327","3628","3574","3500","3563","1425","1382","1433"
"MI","21007","Gurupi (MA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","6336","12472","10921","4034","19702","18603","11349","12252","8829","9467","9637","10911","8270","8672","8961","8913","8944","8890","8386","6426","5047","9509","9302","7408","8719","7065","6780","6300","4561","3365","3465","2806"
"MI","21008","Pindaré (MA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","24604","47467","58173","80836","96638","101265","34524","34138","31008","40984","69188","58803","55422","73835","82619","91270","97857","99180","96568","107664","76591","140105","132102","121229","127501","157278","78524","107177","121467","122225","125089","133190"
"MI","21009","Imperatriz (MA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","12467","26884","17152","36632","31747","22782","14776","19568","11843","15807","20491","20100","21364","30284","32852","35044","36771","38473","29095","22542","23398","22437","19318","49308","51427","52396","29637","59791","65252","66675","74333","75779"
"MI","21010","Médio Mearim (MA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","10678","22927","12565","18412","17740","19168","12045","11491","9430","13528","16356","15545","19582","18604","15466","19041","21440","28720","29989","34313","28246","35312","19731","29883","33153","27104","17024","14894","13313","11995","12031","11069"
"MI","21011","Alto Mearim e Grajaú (MA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","16520","50228","32697","18486","64961","35866","25652","22537","14656","20557","23346","31184","34645","40922","46141","46154","46702","50738","53455","52302","44991","65972","55363","65342","68803","54328","33926","60859","65768","60143","59990","57355"
"MI","21012","Presidente Dutra (MA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","13520","39463","25923","21170","47058","34220","14053","14182","7554","20217","20791","25608","22490","27407","34892","35454","35179","35135","35444","25162","37566","38441","19641","32029","43092","44415","20245","38026","40889","39396","44826","48997"
"MI","21013","Baixo Parnaíba Maranhense (MA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1464","4187","1266","1266","5087","5102","3092","2878","2656","2581","2900","2939","1932","2756","2918","1813","2319","2551","2711","2787","3206","6116","1145","8740","8976","5391","5238","5439","4999","7947","7380","8142"
